Per capita real GDP by state (chained 2009 dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2012,Rank
0,United States,48160,--
11000,District of Columbia,164161,--
2000,Alaska,70804,1
38000,North Dakota,64618,2
9000,Connecticut,63363,3
36000,New York,62742,4
25000,Massachusetts,61863,5
56000,Wyoming,61477,6
10000,Delaware,61271,7
34000,New Jersey,55978,8
53000,Washington,53718,9
24000,Maryland,53704,10
6000,California,52724,11
17000,Illinois,52018,12
51000,Virginia,51933,13
27000,Minnesota,51615,14
41000,Oregon,51121,15
31000,Nebraska,50974,16
48000,Texas,50670,17
8000,Colorado,50254,18
15000,Hawaii,49333,19
19000,Iowa,48319,20
33000,New Hampshire,48293,21
46000,South Dakota,47190,22
22000,Louisiana,46850,23
44000,Rhode Island,46604,24
42000,Pennsylvania,46293,25
55000,Wisconsin,45429,26
20000,Kansas,45101,27
39000,Ohio,44425,28
32000,Nevada,43307,29
50000,Vermont,43273,30
37000,North Carolina,43159,31
18000,Indiana,42903,32
13000,Georgia,41904,33
49000,Utah,41890,34
29000,Missouri,41807,35
47000,Tennessee,41283,36
40000,Oklahoma,40664,37
26000,Michigan,40226,38
35000,New Mexico,39114,39
4000,Arizona,38895,40
21000,Kentucky,38125,41
12000,Florida,37790,42
23000,Maine,37784,43
30000,Montana,37767,44
1000,Alabama,36750,45
5000,Arkansas,35924,46
45000,South Carolina,35563,47
54000,West Virginia,34347,48
16000,Idaho,34102,49
28000,Mississippi,31862,50
92000,Mideast,57398,1
91000,New England,56907,2
98000,Far West,52411,3
94000,Plains,47598,4
96000,Southwest,47069,5
93000,Great Lakes,45542,6
97000,Rocky Mountain,45266,7
95000,Southeast,40653,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
