Gross domestic product (GDP) by state (millions of current dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2010,Rank
0,United States,14859776,--
6000,California,1964588,1
48000,Texas,1249898,2
36000,New York,1207647,3
12000,Florida,731278,4
17000,Illinois,653597,5
42000,Pennsylvania,585805,6
39000,Ohio,494792,7
34000,New Jersey,494262,8
51000,Virginia,423629,9
37000,North Carolina,419545,10
13000,Georgia,409747,11
25000,Massachusetts,398347,12
26000,Michigan,385800,13
53000,Washington,362226,14
24000,Maryland,314107,15
18000,Indiana,282262,16
27000,Minnesota,271973,17
8000,Colorado,257810,18
29000,Missouri,256576,19
55000,Wisconsin,253874,20
47000,Tennessee,253237,21
4000,Arizona,248110,22
22000,Louisiana,232694,23
9000,Connecticut,231060,24
41000,Oregon,190844,25
1000,Alabama,176287,26
21000,Kentucky,165550,27
45000,South Carolina,165045,28
40000,Oklahoma,151804,29
19000,Iowa,141552,30
20000,Kansas,127967,31
32000,Nevada,119632,32
49000,Utah,118180,33
5000,Arkansas,105195,34
11000,District of Columbia,104175,--
28000,Mississippi,95258,35
31000,Nebraska,91676,36
35000,New Mexico,83709,37
15000,Hawaii,67451,38
54000,West Virginia,66241,39
33000,New Hampshire,62849,40
10000,Delaware,57369,41
16000,Idaho,55576,42
2000,Alaska,52490,43
23000,Maine,51336,44
44000,Rhode Island,49279,45
56000,Wyoming,40200,46
46000,South Dakota,38210,47
30000,Montana,37315,48
38000,North Dakota,35308,49
50000,Vermont,26411,50
95000,Southeast,3243708,1
92000,Mideast,2763364,2
98000,Far West,2757231,3
93000,Great Lakes,2070324,4
96000,Southwest,1733522,5
94000,Plains,963262,6
91000,New England,819283,7
97000,Rocky Mountain,509083,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
